date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:35	1238/1238	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/guide.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/guide.svg	(from https://mainfolder.com/index.html)
17:18:35	1486/1486	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:32%20GMT	https://mainfolder.com/assets/img/shape/ab-1-shape-1.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/shape/ab-1-shape-1.png	(from https://mainfolder.com/index.html)
17:18:35	3472/3472	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:32%20GMT	https://mainfolder.com/assets/img/shape/ab-1-shape-2.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/shape/ab-1-shape-2.png	(from https://mainfolder.com/index.html)
17:18:36	131399/131399	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:31%20GMT	https://mainfolder.com/assets/img/normal/about-right.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/normal/about-right.png	(from https://mainfolder.com/index.html)
17:18:36	209965/209965	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:27%20GMT	https://mainfolder.com/assets/img/bg/shape_bg_1.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/bg/shape_bg_1.png	(from https://mainfolder.com/index.html)
17:18:36	532155/532155	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:32%20GMT	https://mainfolder.com/assets/img/normal/Founder.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/normal/Founder.jpg	(from https://mainfolder.com/index.html)
17:18:36	1472309/1472309	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/fea-3-1.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/fea-3-1.svg	(from https://mainfolder.com/index.html)
17:18:37	77527/77527	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/fea-3-2.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/fea-3-2.svg	(from https://mainfolder.com/index.html)
17:18:37	101888/101888	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/fea-3-3.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/fea-3-3.svg	(from https://mainfolder.com/index.html)
17:18:37	91652/91652	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:27%20GMT	https://mainfolder.com/assets/img/bg/process-1-2-bg.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/bg/process-1-2-bg.jpg	(from https://mainfolder.com/index.html)
